Normal,Skewed-right,Skewed-left,Uniform
67,31,102,12.1
70,43,55,12.1
63,30,70,12.4
65,30,95,12.1
68,38,73,12.1
60,26,79,12.2
70,29,60,12.2
64,55,73,12.2
69,46,89,11.9
61,26,85,12.2
66,29,72,12.3
65,57,92,12.3
71,34,76,11.7
62,34,93,12.3
66,36,76,12.3
68,40,97,12.4
64,28,10,12.4
67,26,70,12.1
62,66,85,12.4
66,63,25,12.4
65,30,83,12.5
63,33,58,11.8
66,24,10,12.5
65,35,92,12.5
63,34,82,12.5
69,40,87,11.6
62,24,104,11.6
67,29,75,12
59,24,80,11.6
66,27,66,11.6
65,35,93,11.7
63,33,90,12.3
65,75,84,11.7
60,38,73,11.7
67,34,98,11.7
64,85,79,11.8
68,29,35,12.5
61,40,71,11.8
69,41,90,11.8
65,35,71,11.8
62,26,63,11.9
67,34,58,11.9
70,19,82,11.9
64,23,72,12.2
63,28,93,11.9
68,26,44,12
64,31,65,11.9
65,25,77,12
61,22,81,12
66,28,77,12
